~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~~~ Test #1# ~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~
Serial	Identifier	Prediction
1.			258		~		0
2.			262		~		0
3.			264		~		0
4.			10		~		0
5.			266		~		0
6.			524		~		0
7.			13		~		1
8.			526		~		0
9.			16		~		1
10.			18		~		0
11.			19		~		1
12.			276		~		1
13.			22		~		1
14.			280		~		0
15.			536		~		0
16.			281		~		1
17.			537		~		0
18.			286		~		1
19.			34		~		0
20.			547		~		0
21.			37		~		0
22.			38		~		0
23.			553		~		0
24.			555		~		1
25.			556		~		1
26.			557		~		1
27.			558		~		0
28.			561		~		0
29.			567		~		1
30.			56		~		0
31.			59		~		1
32.			315		~		1
33.			60		~		0
34.			318		~		0
35.			577		~		1
36.			322		~		0
37.			70		~		1
38.			582		~		0
39.			328		~		0
40.			73		~		1
41.			585		~		0
42.			74		~		0
43.			75		~		0
44.			331		~		1
45.			588		~		0
46.			334		~		0
47.			79		~		0
48.			337		~		0
49.			594		~		1
50.			83		~		1
51.			342		~		0
52.			89		~		0
53.			93		~		0
54.			605		~		0
55.			96		~		0
56.			608		~		0
57.			355		~		0
58.			613		~		0
59.			619		~		0
60.			364		~		0
61.			365		~		0
62.			110		~		1
63.			367		~		0
64.			114		~		0
65.			115		~		0
66.			628		~		0
67.			631		~		0
68.			120		~		0
69.			376		~		0
70.			122		~		1
71.			634		~		0
72.			379		~		0
73.			380		~		0
74.			382		~		0
75.			129		~		0
76.			385		~		0
77.			131		~		1
78.			132		~		0
79.			133		~		0
80.			645		~		0
81.			134		~		0
82.			391		~		0
83.			647		~		0
84.			142		~		0
85.			654		~		1
86.			399		~		0
87.			655		~		1
88.			400		~		1
89.			147		~		0
90.			403		~		0
91.			659		~		0
92.			149		~		1
93.			405		~		0
94.			151		~		0
95.			664		~		0
96.			409		~		0
97.			410		~		0
98.			667		~		0
99.			668		~		0
100.			157		~		0
101.			161		~		1
102.			673		~		0
103.			162		~		1
104.			674		~		0
105.			163		~		0
106.			419		~		0
107.			165		~		0
108.			422		~		1
109.			678		~		0
110.			681		~		1
111.			426		~		1
112.			429		~		0
113.			432		~		0
114.			178		~		1
115.			435		~		1
116.			436		~		0
117.			182		~		1
118.			183		~		1
119.			440		~		0
120.			187		~		0
121.			444		~		0
122.			189		~		0
123.			190		~		0
124.			446		~		0
125.			192		~		0
126.			193		~		0
127.			195		~		1
128.			454		~		0
129.			203		~		0
130.			459		~		0
131.			460		~		0
132.			205		~		1
133.			208		~		1
134.			469		~		1
135.			215		~		0
136.			473		~		1
137.			479		~		1
138.			235		~		0
139.			493		~		0
140.			238		~		0
141.			240		~		1
142.			497		~		0
143.			498		~		0
144.			499		~		0
145.			501		~		1
146.			252		~		1
147.			508		~		1
148.			510		~		0
149.			511		~		0

Summary %1 

Total test data: 149
TP	:	43
FN	:	4
FP	:	2
TN	:	100

Accuracy	:	95.97315436241611
Precision	:	0.9555555555555556
Recall		:	0.9148936170212766
F-measure	:	0.9347826086956522
G-mean		:	0.9470768324119473

~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~~~ Test #2# ~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~
Serial	Identifier	Prediction
1.			2		~		1
2.			258		~		0
3.			514		~		0
4.			516		~		1
5.			261		~		1
6.			262		~		0
7.			518		~		0
8.			519		~		0
9.			10		~		0
10.			522		~		0
11.			13		~		1
12.			270		~		0
13.			526		~		0
14.			529		~		0
15.			19		~		1
16.			275		~		1
17.			532		~		1
18.			279		~		0
19.			280		~		0
20.			25		~		0
21.			283		~		0
22.			541		~		0
23.			546		~		0
24.			291		~		1
25.			552		~		0
26.			297		~		1
27.			553		~		0
28.			43		~		1
29.			299		~		0
30.			46		~		0
31.			560		~		1
32.			305		~		0
33.			50		~		1
34.			308		~		1
35.			564		~		0
36.			309		~		0
37.			568		~		1
38.			57		~		1
39.			570		~		0
40.			316		~		1
41.			318		~		0
42.			574		~		1
43.			319		~		0
44.			576		~		1
45.			65		~		0
46.			578		~		1
47.			67		~		0
48.			582		~		0
49.			328		~		0
50.			330		~		0
51.			586		~		0
52.			587		~		0
53.			77		~		0
54.			333		~		1
55.			335		~		1
56.			595		~		0
57.			596		~		1
58.			599		~		0
59.			88		~		0
60.			600		~		0
61.			90		~		0
62.			346		~		0
63.			602		~		0
64.			92		~		0
65.			604		~		0
66.			349		~		0
67.			351		~		0
68.			352		~		0
69.			100		~		1
70.			360		~		0
71.			105		~		1
72.			112		~		1
73.			627		~		0
74.			372		~		0
75.			119		~		0
76.			120		~		0
77.			633		~		1
